Last_Read_Heat_Zone_0Avg,A_C3H4O2I_Avg,A_C2H2O3I_Avg,A_C2H4O3I_Avg,A_C3H2O3I_Avg,A_C3H4O3I_Avg,A_C2H2O4I_Avg,A_C2H4O4I_Avg,A_C4H2O3I_Avg,A_C4H4O3I_Avg,A_C4H6O3I_Avg,A_C3H4O4I_Avg,A_C2H2O5I_Avg,A_C5H4O3I_Avg,A_C4H2O4I_Avg,A_C5H6O3I_Avg,A_C4H4O4I_Avg,A_C4H6O4I_Avg,A_C3H4O5I_Avg,A_C2H3NO5I_Avg,A_C7H6O2I_Avg,A_C6H6O3I_Avg,A_C5H4O4I_Avg,A_C6H8O3I_Avg,A_C4H2O5I_Avg,A_C5H6O4I_Avg,A_C4H4O5I_Avg,A_C5H8O4I_Avg,A_C4H6O5I_Avg,A_C2H3NO6I_Avg,A_C7H6O3I_Avg,A_C6H5NO3I_Avg,A_C7H8O3I_Avg,A_C6H8O4I_Avg,A_C4H3NO5I_Avg,A_C5H5O5I_Avg,A_C5H6O5I_Avg,A_C4H4O6I_Avg,A_C5H8O5I_Avg,A_C3H3NO6I_Avg,A_C7H7NO3I_Avg,A_C7H6O4I_Avg,A_C6H5NO4I_Avg,A_C7H8O4I_Avg,A_C6H6O5I_Avg,A_C7H10O4I_Avg,A_C5H5NO5I_Avg,A_C6H8IO5_Avg,A_C4H3NO6I_Avg,A_C5H7INO5_Avg,A_C5H6O6I_Avg,A_C6H10IO5_Avg,A_C3H3NO7I_Avg,A_C7H7NO4I_Avg,A_C7H8O5I_Avg,A_C6H7NO5I_Avg,A_C7H10O5I_Avg,A_C5H5NO6I_Avg,A_C6H8IO6_Avg,A_C5H8IN2O5_Avg,A_C4H3NO7I_Avg,A_C6H10IO6_Avg,A_C4H5NO7I_Avg,A_C5H8O7I_Avg,A_C7H5NO5I_Avg,A_C7H8O6I_Avg,A_C6H7NO6I_Avg,A_C7H10O6I_Avg,A_C6H9INO6_Avg,A_C5H8IN2O6_Avg,A_C7H12IO6_Avg,A_C5H7NO7I_Avg,A_C5H10IN2O6_Avg,A_C7H6N2O5I_Avg,A_C6H5NO7I_Avg,A_C7H9NO6I_Avg,A_C7H8IO7_Avg,A_C6H7INO7_Avg,A_C7H10IO7_Avg,A_C5H5NO8I_Avg,A_C6H9INO7_Avg,A_C7H7NO7I_Avg,A_C7H9NO7I_Avg,A_C7H11INO7_Avg,A_C7H7NO8I_Avg,A_C7H10IN2O7_Avg,A_C7H9NO8I_Avg,A_C5H10IN2O9_Avg,A_C7H10IN2O8_Avg,A_C7H9NO9I_Avg,A_C6H6N2O10I_Avg,A_C7H8N2O10I_Avg,A_C7H8N2O11I_Avg,A_C6H5N3O12I_Avg,A_C7H7N3O12I_Avg
25.814285,1.44E-06,0.001455703,0.004769063,0.000321672,0.001306772,0.001068135,0.000578017,3.48E-05,0.000923572,0.000160797,0.002281647,0.000102571,0.000164673,0.00317889,0.000393944,0.000780678,0.00267983,0.000366062,0.000367467,3.17E-05,4.74E-05,0.000412949,0.00023755,5.84E-05,0.001357892,0.000335262,0.002267941,0.000748975,0.000136397,2.42E-05,5.69E-05,0.000161836,0.001276838,1.31E-05,0,0.000916262,0.000218755,0.000894719,0.000165903,6.96E-05,0.000303959,9.48E-06,0.003333036,0.000603658,0.000813295,4.70E-05,0.001316193,3.06E-05,0.000156632,0.000382401,0.000390599,2.65E-05,4.78E-05,0.001371965,0.000141207,0.005608312,0,0.000710927,0.000485489,2.98E-05,0.000347415,7.64E-06,6.81E-05,1.24E-05,0.000959849,5.33E-05,0.001783505,0.000167236,0.000275204,0.000374727,8.62E-05,0.000101888,4.13E-05,7.13E-06,0.00012465,0.000633207,0.000204911,0.000805953,5.42E-05,8.32E-05,0.000193905,9.86E-05,1.47E-05,5.83E-05,0.00013239,7.54E-05,6.26E-05,2.41E-05,4.90E-05,7.75E-06,7.23E-05,1.17E-05,5.51E-06,5.19E-07
25.814285,1.56E-05,0.000442179,0.000759635,5.62E-05,0.000240952,0.000366805,9.81E-05,7.62E-06,0.000290993,5.22E-05,0.001263302,6.64E-06,3.77E-05,0.003175525,2.46E-05,0.000508116,0.000815199,0.000246759,5.29E-05,1.62E-05,1.86E-05,0.000255836,8.00E-05,4.18E-05,0.000514812,0.000238829,0.000754147,0.000472021,0,9.04E-06,4.47E-05,7.29E-05,0.000803517,9.60E-07,0,0.000673972,5.07E-05,0.000657451,3.76E-05,4.76E-05,0.000102175,6.74E-06,0.001601605,0.000470081,0.000601153,2.44E-05,0.001063918,3.72E-07,0.000105016,0.00029894,0.000427064,1.69E-06,1.66E-05,0.001022544,4.50E-05,0.003661344,0,0.000665437,0.000370189,2.05E-06,0.000474843,0,1.86E-05,4.66E-06,0.001008674,1.46E-05,0.001757846,0.000127958,0.000268165,0.000334893,1.43E-05,0.00011742,3.06E-05,4.29E-07,7.89E-05,0.000557398,5.67E-05,0.000696405,0,6.82E-05,3.94E-05,5.63E-05,3.74E-05,2.74E-05,0.000126312,3.54E-05,4.34E-05,2.19E-05,1.69E-05,7.19E-06,6.05E-05,7.20E-06,1.62E-06,3.26E-07
25.814285,6.30E-06,0.0003515,0.00023036,3.93E-05,8.63E-05,0.000358244,4.24E-05,6.74E-06,0.000123425,3.81E-05,0.000827402,1.31E-06,1.98E-05,0.003172812,0,0.000439743,0.00041246,0.000224221,1.93E-05,1.45E-05,1.98E-05,0.000236394,2.19E-05,4.45E-05,0.000360584,0.000217925,0.000376528,0.000406884,0,1.00E-05,3.37E-05,5.42E-05,0.000556954,1.76E-06,0,0.000595267,7.72E-05,0.000585811,2.19E-05,4.62E-05,7.76E-05,4.59E-06,0.000901816,0.0004263,0.000412568,2.32E-05,0.000932239,0,7.29E-05,0.000275119,0.000401939,1.13E-06,1.71E-05,0.000910575,2.72E-05,0.00297014,0,0.000614095,0.000400961,1.38E-06,0.00047398,0,6.09E-06,4.07E-06,0.001049343,1.71E-05,0.001713028,0.000122287,0,0.000353044,1.64E-05,0.000113615,2.92E-05,1.98E-06,5.52E-05,0.000543652,4.83E-05,0.00067624,0,6.16E-05,2.39E-05,4.97E-05,4.27E-05,1.82E-05,0.000107565,2.94E-05,4.01E-05,2.56E-05,1.33E-05,5.28E-06,5.61E-05,7.00E-06,2.15E-06,0
25.838572,6.21E-06,0.000338132,0.000209624,3.68E-05,8.22E-05,0.000350803,3.70E-05,3.64E-06,0.000108457,3.65E-05,0.000689461,3.18E-06,2.41E-05,0.003220926,0,0.000426293,0.000359005,0.000212091,1.64E-05,1.08E-05,1.42E-05,0.000237049,2.91E-05,4.48E-05,0.000273532,0.000207392,0.000306886,0.000384949,8.58E-07,9.85E-06,2.75E-05,5.02E-05,0.000453256,1.61E-06,0,0.000578501,6.64E-05,0.00055888,2.05E-05,4.24E-05,9.57E-05,1.04E-05,0.000798557,0.000414641,0.000367219,2.06E-05,0.000887637,0,7.05E-05,0.000287269,0.000389731,2.29E-06,1.82E-05,0.000860377,3.47E-05,0.0026728,0,0.000630022,0.000316849,1.21E-06,0.000486566,0,1.67E-05,3.59E-06,0.00106236,3.03E-05,0.001687514,0.000116685,0.000310001,0.000309458,4.51E-06,0.000111628,3.00E-05,3.11E-06,5.62E-05,0.000539958,4.62E-05,0.000663235,0,5.88E-05,2.17E-05,4.88E-05,4.71E-05,1.22E-05,0.000120849,2.90E-05,4.45E-05,2.45E-05,1.20E-05,4.58E-06,5.14E-05,6.93E-06,3.99E-06,1.56E-07
25.904285,5.48E-06,0.000321252,0.000182704,3.62E-05,7.45E-05,0.000332413,2.76E-05,4.44E-06,9.64E-05,3.64E-05,0.00064589,3.78E-06,1.85E-05,0.003265521,0,0.000414446,0.000315049,0.000207321,1.91E-05,1.17E-05,1.53E-05,0.000235577,3.06E-05,4.25E-05,0.000265379,0.000207666,0.000261141,0.000374352,1.67E-06,8.05E-06,2.38E-05,4.49E-05,0.000425041,6.89E-07,0,0.000567004,6.96E-05,0.000540928,1.54E-05,3.97E-05,9.73E-05,4.91E-06,0.000721383,0.000411806,0.000341212,2.20E-05,0.000853726,0,7.46E-05,0.000275021,0.000375164,6.20E-07,1.41E-05,0.000835465,3.28E-05,0.002529044,0,0.000591054,0.00035986,3.18E-06,0.000470706,0,4.99E-06,2.58E-06,0.001060353,2.52E-05,0.001637348,0.000114253,0.000287915,0.00033885,9.35E-06,0.000112348,2.65E-05,3.55E-06,5.96E-05,0.000542724,4.37E-05,0.000650638,0,6.14E-05,1.92E-05,4.61E-05,4.80E-05,1.32E-05,0.000118064,2.83E-05,4.14E-05,2.29E-05,1.31E-05,4.70E-06,5.21E-05,7.28E-06,1.77E-06,4.43E-09
26.075716,9.12E-06,0.000324321,0.000198398,3.48E-05,6.73E-05,0.000339846,2.02E-05,3.23E-06,9.09E-05,3.22E-05,0.000590948,1.97E-06,1.37E-05,0.003294253,0,0.000419727,0.000306327,0.000200476,1.58E-05,7.59E-06,1.58E-05,0.000238973,3.87E-06,5.10E-05,0.000245484,0.000213704,0.000259586,0.000369722,0,7.49E-06,1.98E-05,4.44E-05,0.000429582,2.81E-06,0,0.0005743,5.91E-05,0.000537084,1.92E-05,4.25E-05,0.000100608,7.04E-06,0.000697166,0.000419934,0.000335035,2.52E-05,0.000834651,0,6.88E-05,0.000272518,0.000345785,2.47E-06,1.27E-05,0.000831573,6.61E-05,0.002501581,0,0.000635236,0.000315747,9.65E-07,0.000478756,0,8.83E-06,4.40E-06,0.001055848,1.50E-05,0.00162264,0.000115786,0.000291182,0.000298491,8.49E-06,0.000116824,3.40E-05,2.92E-06,5.10E-05,0.000550003,3.69E-05,0.00065772,0,5.88E-05,2.08E-05,4.52E-05,5.03E-05,9.93E-06,0.000117104,2.92E-05,4.79E-05,2.61E-05,1.35E-05,5.97E-06,5.21E-05,6.10E-06,1.24E-06,4.15E-07
26.438572,4.85E-06,0.000340607,0.000209234,3.75E-05,7.64E-05,0.00034879,2.08E-05,3.72E-06,9.03E-05,3.59E-05,0.000598021,3.68E-06,1.69E-05,0.003305669,0,0.000430847,0.000307912,0.000207227,1.49E-05,8.19E-06,1.59E-05,0.000250182,6.58E-07,4.50E-05,0.000281656,0.000217646,0.000254549,0.000375497,4.41E-06,7.04E-06,2.91E-05,4.32E-05,0.000425636,3.04E-06,0,0.00059266,7.14E-05,0.000549397,1.87E-05,4.37E-05,0.000108821,8.56E-06,0.000698818,0.000430932,0.000342749,2.26E-05,0.000874606,0,6.76E-05,0.000274434,0.000369685,1.82E-06,1.53E-05,0.000847268,3.62E-05,0.002533441,0,0.000669878,0.000267287,2.02E-06,0.000461158,0,2.18E-06,4.45E-06,0.001078821,2.28E-05,0.001664438,0.000118721,0.000322709,0.000306224,0,0.000110273,3.45E-05,3.90E-06,4.71E-05,0.000561977,4.17E-05,0.000664154,0,6.16E-05,1.55E-05,4.51E-05,4.38E-05,8.96E-06,0.000118843,2.83E-05,4.77E-05,1.87E-05,1.11E-05,6.02E-06,4.66E-05,6.07E-06,2.35E-06,1.17E-07
26.964285,1.07E-06,0.000363653,0.00020637,4.11E-05,6.81E-05,0.000362426,2.23E-05,4.72E-06,9.67E-05,3.27E-05,0.000621085,2.19E-06,1.96E-05,0.003335794,0,0.000460354,0.000323109,0.000220069,1.27E-05,9.88E-06,1.11E-05,0.000266204,1.66E-05,4.34E-05,0.000281799,0.000245744,0.000272005,0.000403178,0,8.37E-06,3.14E-05,4.75E-05,0.000403477,4.30E-07,0,0.000643443,6.21E-05,0.00059319,1.75E-05,4.63E-05,0.000124801,8.05E-06,0.000743911,0.000458335,0.000349869,2.36E-05,0.000907181,0,7.20E-05,0.000283338,0.000395441,2.08E-06,1.61E-05,0.00090481,4.54E-05,0.002702524,0,0.000651258,0.000329411,5.09E-09,0.000478442,0,1.24E-06,2.86E-06,0.001133268,3.02E-05,0.001725686,0.000118853,0.000334434,0.000296837,2.10E-07,0.000115973,3.74E-05,5.16E-06,5.05E-05,0.000592633,3.77E-05,0.000679569,0,6.63E-05,2.07E-05,4.65E-05,4.63E-05,1.16E-05,9.94E-05,2.88E-05,3.77E-05,2.75E-05,1.27E-05,6.50E-06,4.86E-05,6.77E-06,1.07E-06,4.48E-08
27.812857,6.75E-06,0.000400017,0.000216614,4.46E-05,8.12E-05,0.000388858,2.47E-05,2.67E-06,9.21E-05,3.80E-05,0.000640822,2.24E-06,1.90E-05,0.003331152,0,0.00050515,0.000364635,0.000246896,1.53E-05,9.22E-06,1.73E-05,0.000287882,2.24E-05,4.90E-05,0.000296155,0.000261421,0.00030647,0.000433612,0,1.11E-05,3.82E-05,5.31E-05,0.00044531,3.67E-06,0,0.000695323,6.79E-05,0.000657011,2.09E-05,5.20E-05,0.000150911,9.81E-06,0.000784112,0.000505285,0.0003892,2.65E-05,0.000995606,0,8.06E-05,0.000303632,0.000423973,7.48E-07,1.35E-05,0.00098041,7.74E-05,0.003029214,0,0.000732126,0.000296403,0,0.000492475,0,3.75E-06,4.24E-06,0.00121272,2.99E-05,0.001805744,0.000133545,0.000314995,0.000323613,7.20E-06,0.000122175,3.62E-05,2.70E-06,5.45E-05,0.000631848,4.21E-05,0.000725509,0,6.54E-05,1.81E-05,4.86E-05,3.90E-05,1.07E-05,0.000113144,2.99E-05,4.20E-05,2.03E-05,1.25E-05,5.92E-06,5.02E-05,5.90E-06,1.96E-06,3.60E-07
29.001429,5.43E-06,0.000458639,0.000264042,4.89E-05,8.66E-05,0.000434407,2.90E-05,4.88E-06,0.00010549,4.46E-05,0.00068856,2.89E-06,1.82E-05,0.003371777,0,0.000564379,0.000425584,0.000283139,1.65E-05,1.42E-05,1.79E-05,0.000315101,2.78E-05,5.48E-05,0.00034052,0.000297047,0.000349926,0.000488468,1.10E-06,9.75E-06,3.87E-05,5.97E-05,0.000492318,1.12E-06,0,0.000804892,7.88E-05,0.000765421,2.18E-05,6.36E-05,0.000156713,1.04E-05,0.000893822,0.000579154,0.000371716,2.43E-05,0.001112736,0,8.55E-05,0.000317037,0.000477277,2.28E-06,1.36E-05,0.001101544,4.05E-05,0.003463262,0,0.000775736,0.000321081,1.82E-06,0.000514373,0,4.15E-06,5.23E-06,0.001327479,1.24E-05,0.002001592,0.000144099,0.000355923,0.00032668,1.28E-05,0.000119679,3.04E-05,4.53E-06,5.80E-05,0.000684789,6.39E-05,0.000758025,0,6.67E-05,2.01E-05,5.05E-05,4.17E-05,1.57E-05,0.000126754,3.12E-05,4.71E-05,2.75E-05,1.15E-05,6.18E-06,5.28E-05,7.07E-06,5.87E-07,1.69E-07
