Last_Read_Heat_Zone_0,A_C3H4O2I_Avg,A_C2H2O3I_Avg,A_C2H4O3I_Avg,A_C3H2O3I_Avg,A_C3H4O3I_Avg,A_C2H2O4I_Avg,A_C2H4O4I_Avg,A_C4H2O3I_Avg,A_C4H4O3I_Avg,A_C4H6O3I_Avg,A_C3H4O4I_Avg,A_C2H2O5I_Avg,A_C5H4O3I_Avg,A_C4H2O4I_Avg,A_C5H6O3I_Avg,A_C4H4O4I_Avg,A_C4H6O4I_Avg,A_C3H4O5I_Avg,A_C2H3NO5I_Avg,A_C7H6O2I_Avg,A_C6H6O3I_Avg,A_C5H4O4I_Avg,A_C6H8O3I_Avg,A_C4H2O5I_Avg,A_C5H6O4I_Avg,A_C4H4O5I_Avg,A_C5H8O4I_Avg,A_C4H6O5I_Avg,A_C2H3NO6I_Avg,A_C7H6O3I_Avg,A_C6H5NO3I_Avg,A_C7H8O3I_Avg,A_C6H8O4I_Avg,A_C4H3NO5I_Avg,A_C5H5O5I_Avg,A_C5H6O5I_Avg,A_C4H4O6I_Avg,A_C5H8O5I_Avg,A_C3H3NO6I_Avg,A_C7H7NO3I_Avg,A_C7H6O4I_Avg,A_C6H5NO4I_Avg,A_C7H8O4I_Avg,A_C6H6O5I_Avg,A_C7H10O4I_Avg,A_C5H5NO5I_Avg,A_C6H8IO5_Avg,A_C4H3NO6I_Avg,A_C5H7INO5_Avg,A_C5H6O6I_Avg,A_C6H10IO5_Avg,A_C3H3NO7I_Avg,A_C7H7NO4I_Avg,A_C7H8O5I_Avg,A_C6H7NO5I_Avg,A_C7H10O5I_Avg,A_C5H5NO6I_Avg,A_C6H8IO6_Avg,A_C5H8IN2O5_Avg,A_C4H3NO7I_Avg,A_C6H10IO6_Avg,A_C4H5NO7I_Avg,A_C5H8O7I_Avg,A_C7H5NO5I_Avg,A_C7H8O6I_Avg,A_C6H7NO6I_Avg,A_C7H10O6I_Avg,A_C6H9INO6_Avg,A_C5H8IN2O6_Avg,A_C7H12IO6_Avg,A_C5H7NO7I_Avg,A_C5H10IN2O6_Avg,A_C7H6N2O5I_Avg,A_C6H5NO7I_Avg,A_C7H9NO6I_Avg,A_C7H8IO7_Avg,A_C6H7INO7_Avg,A_C7H10IO7_Avg,A_C5H5NO8I_Avg,A_C6H9INO7_Avg,A_C7H7NO7I_Avg,A_C7H9NO7I_Avg,A_C7H11INO7_Avg,A_C7H7NO8I_Avg,A_C7H10IN2O7_Avg,A_C7H9NO8I_Avg,A_C5H10IN2O9_Avg,A_C7H10IN2O8_Avg,A_C7H9NO9I_Avg,A_C6H6N2O10I_Avg,A_C7H8N2O10I_Avg,A_C7H8N2O11I_Avg,A_C6H5N3O12I_Avg,A_C7H7N3O12I_Avg
25,8.01E-06,0.000542063,0.000734978,5.77E-05,0.000200695,0.000543551,0.000118997,1.26E-05,0.000284348,7.56E-05,0.001415327,6.16E-06,3.41E-05,0.002772888,7.26E-05,0.000826815,0.00087943,0.000327788,2.81E-05,3.48E-05,2.96E-05,0.000288401,0.000118152,7.79E-06,0.000707508,0.000329525,0.000875661,0.000810659,3.40E-06,2.50E-05,2.07E-05,0.000175042,0.001158474,0,0,0.000967014,6.02E-05,0.001178166,3.51E-05,3.09E-05,0.000117853,1.30E-05,0.002157581,0.000627592,0.00087256,2.81E-05,0.001532414,0,0.000122636,0.000303526,0.000675902,3.67E-06,1.34E-05,0.001672777,5.40E-05,0.00724735,0,0.000856888,0.000495868,7.68E-06,0.000637527,0,2.92E-05,6.72E-06,0.001258026,0,0.002579203,0.000189263,0.000351534,0.000403184,8.90E-06,0.000151746,3.31E-05,1.80E-07,5.15E-05,0.000591543,5.74E-05,0.000928962,0,6.54E-05,2.45E-05,4.81E-05,3.92E-05,2.11E-05,9.75E-05,2.48E-05,4.83E-05,2.02E-05,1.26E-05,6.51E-06,4.60E-05,8.92E-06,1.76E-06,0
25,5.85E-06,0.000467539,0.000331626,5.70E-05,9.37E-05,0.000472548,6.78E-05,0,0.000155915,6.14E-05,0.001105021,0,2.38E-05,0.002779519,0,0.000733821,0.000619578,0.000361441,1.80E-05,3.29E-05,2.52E-05,0.000295457,6.34E-05,3.92E-05,0.000563963,0.000340505,0.000611844,0.000716,1.69E-06,3.77E-06,1.68E-05,0.000139263,0.00095094,0,0,0.000859309,6.61E-05,0.0010445,2.96E-05,2.26E-05,0.00012031,1.55E-05,0.001583841,0.000622633,0.000753948,2.00E-05,0.001461602,0,0.000111704,0.000316924,0.000632812,3.07E-06,1.35E-05,0.001551809,5.87E-05,0.006085248,0,0.000714177,0.000453114,0,0.000645261,0,2.60E-05,1.55E-06,0.001320107,0,0.002542786,0.000163318,0.000364241,0.000325263,9.87E-06,0.000143627,2.88E-05,1.24E-06,4.43E-05,0.000574774,4.60E-05,0.000898945,0,6.07E-05,1.81E-05,4.31E-05,3.62E-05,1.47E-05,9.02E-05,2.59E-05,4.75E-05,1.71E-05,1.04E-05,6.61E-06,3.97E-05,6.96E-06,2.56E-06,0
25,7.32E-06,0.000406954,0.000296696,5.05E-05,8.35E-05,0.00043849,5.26E-05,1.34E-06,0.000127135,4.63E-05,0.000972115,0,1.91E-05,0.002815657,0,0.000682072,0.00054809,0.000335321,1.72E-05,2.08E-05,2.00E-05,0.000276656,5.03E-05,3.49E-05,0.000498833,0.000330366,0.000528916,0.000664611,9.27E-07,7.62E-06,1.48E-05,0.000110019,0.000850073,1.98E-07,0,0.00080304,6.72E-05,0.001021539,2.96E-05,2.03E-05,0.00012906,0,0.001375446,0.00057624,0.00068163,2.08E-05,0.001388456,0,0.000106876,0.000326286,0.000601195,0,1.26E-05,0.001443181,5.91E-05,0.005490147,0,0.0007024,0.000422499,1.17E-06,0.000634207,0,2.07E-05,6.51E-06,0.001320351,0,0.002442936,0.000173429,0.000370293,0.000361022,5.89E-06,0.000135415,2.88E-05,6.36E-06,4.29E-05,0.000609989,5.16E-05,0.000910482,0,6.72E-05,1.95E-05,3.75E-05,3.95E-05,1.54E-05,8.98E-05,2.25E-05,4.69E-05,2.50E-05,9.60E-06,5.85E-06,3.87E-05,6.63E-06,2.17E-06,0
25,4.83E-06,0.000407666,0.000278586,4.60E-05,8.07E-05,0.000435791,4.86E-05,0,0.000115079,3.89E-05,0.000899867,0,1.82E-05,0.002828619,0,0.000683019,0.000518264,0.000331239,1.61E-05,1.31E-05,2.19E-05,0.000268806,4.36E-05,3.73E-05,0.000473534,0.000311006,0.000491375,0.000628175,4.77E-07,1.84E-05,1.60E-05,8.78E-05,0.000811324,0,0,0.000809843,6.96E-05,0.000981052,2.74E-05,1.99E-05,0.000132246,1.65E-05,0.001288738,0.000616523,0.000635893,2.68E-05,0.001352897,0,0.000103674,0.000343726,0.000581708,0,1.06E-05,0.001399895,5.46E-05,0.005160817,0,0.00081546,0.000381644,0,0.000620035,0,2.56E-05,7.92E-06,0.001327257,0,0.002408274,0.000175401,0.000395511,0.000304803,1.07E-05,7.82E-05,2.88E-05,7.99E-06,4.02E-05,0.000605574,4.42E-05,0.00089548,0,6.21E-05,1.83E-05,3.97E-05,3.54E-05,3.54E-06,8.64E-05,2.51E-05,4.63E-05,2.13E-05,9.57E-06,5.49E-06,3.89E-05,6.82E-06,1.62E-06,0
25.110001,6.48E-06,0.000406334,0.000280267,5.77E-05,8.01E-05,0.000431168,3.97E-05,3.28E-06,0.000108134,3.93E-05,0.00087378,5.61E-06,1.83E-05,0.002886445,0,0.000671251,0.000500211,0.000324131,1.63E-05,1.89E-05,1.91E-05,0.000263366,3.96E-05,3.14E-05,0.000461303,0.000337162,0.000467678,0.00061082,1.16E-06,1.38E-05,1.69E-05,0.000104197,0.000789631,0,0,0.00079437,6.82E-05,0.000976271,2.67E-05,2.00E-05,0.000139576,1.16E-05,0.001245788,0.000609402,0.000620849,2.09E-05,0.00134397,0,0.000101208,0.000296996,0.000601673,0,1.13E-05,0.001364038,4.91E-05,0.004949249,0,0.000756489,0.000427927,0,0.000626297,0,2.23E-05,8.96E-06,0.001342188,5.13E-05,0.002398765,0.000157981,0.000367524,0.000332034,1.13E-05,9.81E-05,2.63E-05,3.99E-06,4.25E-05,0.000607928,4.55E-05,0.000884237,0,7.32E-05,1.76E-05,3.65E-05,3.73E-05,1.13E-05,8.74E-05,2.19E-05,4.64E-05,0,9.68E-06,5.31E-06,3.81E-05,8.08E-06,1.85E-06,0
25.51,7.09E-06,0.000406222,0.000288088,4.93E-05,7.77E-05,0.000431343,4.12E-05,4.58E-06,0.000102441,5.73E-05,0.000866063,2.21E-06,1.87E-05,0.002845547,0,0.000668378,0.000513247,0.000306281,1.54E-05,1.87E-05,1.67E-05,0.000277073,3.86E-05,3.85E-05,0.000468345,0.000356928,0.000479844,0.000584042,1.19E-07,3.37E-06,1.54E-05,9.36E-05,0.000800166,0,0,0.000850164,6.22E-05,0.001029932,2.82E-05,2.18E-05,0.000153814,0,0.001258988,0.000606163,0.000642754,3.15E-05,0.001370376,0,0.000102165,0.000322885,0.000619364,0,1.08E-05,0.001401097,4.92E-05,0.004998332,0,0.000771532,0.000429413,0,0.000634612,0,2.21E-05,1.65E-06,0.00138737,3.18E-05,0.002454242,0.000162026,0.000374454,0.00034248,7.12E-06,0.00013289,2.72E-05,1.45E-06,4.25E-05,0.000617815,5.02E-05,0.000875681,0,6.36E-05,1.84E-05,3.61E-05,3.95E-05,1.30E-05,7.97E-05,2.47E-05,4.81E-05,2.00E-05,1.00E-05,5.98E-06,3.99E-05,4.98E-06,1.81E-06,3.70E-07
26.1,3.67E-06,0.000422118,0.000307188,4.86E-05,8.51E-05,0.000455331,4.10E-05,9.47E-06,0.000103045,3.74E-05,0.000917461,0,1.92E-05,0.002882854,0,0.000731605,0.000552869,0.000327539,1.71E-05,1.82E-05,1.92E-05,0.000277819,3.28E-05,3.96E-05,0.000486674,0.000326087,0.000513855,0.000623789,5.86E-07,1.67E-05,1.55E-05,9.58E-05,0.000839714,0,0,0.000857369,5.63E-05,0.001100577,2.93E-05,2.15E-05,0.000166624,1.63E-05,0.001340447,0.000649258,0.000678468,1.79E-05,0.001475889,0,0.000109994,0.00033493,0.000669144,0,1.09E-05,0.001440392,3.99E-05,0.00526168,0,0.000787963,0.000432774,0,0.00065081,0,2.21E-05,6.30E-06,0.001458273,2.16E-05,0.002562438,0.000175432,0.000387038,0.000330336,6.87E-06,0.000107006,2.66E-05,2.97E-06,4.23E-05,0.000653967,5.41E-05,0.000889868,0,6.35E-05,1.62E-05,3.91E-05,3.62E-05,7.56E-06,8.46E-05,2.30E-05,4.57E-05,1.34E-05,1.07E-05,5.31E-06,4.04E-05,7.26E-06,2.59E-06,0
26.990004,6.64E-06,0.000467121,0.000346414,5.31E-05,9.16E-05,0.000460757,4.93E-05,7.76E-06,0.000111564,4.85E-05,0.001002354,0,1.84E-05,0.002839773,0,0.00078236,0.000608838,0.000363997,1.85E-05,2.23E-05,1.82E-05,0.000291949,4.66E-05,3.49E-05,0.000540226,0.000368323,0.000554231,0.000676442,5.29E-07,1.15E-05,1.67E-05,9.81E-05,0.000926748,0,0,0.000938825,6.55E-05,0.001119367,3.39E-05,2.50E-05,0.000187044,2.04E-05,0.001457789,0.000686889,0.00075242,2.26E-05,0.001620541,0,0.00012057,0.000331775,0.000737402,0,1.18E-05,0.001556673,6.49E-05,0.005636649,0,0.000835394,0.000419603,0,0.000678563,0,2.19E-05,1.80E-06,0.001579418,2.09E-05,0.002734759,0.000180117,0.000388536,0.000351782,9.25E-06,0.000110878,2.82E-05,2.95E-06,4.56E-05,0.000685242,5.58E-05,0.000931872,0,6.98E-05,1.84E-05,3.91E-05,3.90E-05,1.47E-05,8.90E-05,2.49E-05,4.71E-05,2.35E-05,1.11E-05,4.60E-06,4.07E-05,6.46E-06,2.06E-06,5.79E-07
28.190002,6.44E-06,0.000536832,0.000418256,5.39E-05,0.000101891,0.000553218,5.18E-05,0,0.000123096,5.52E-05,0.001154266,0,1.95E-05,0.002849783,0,0.000897443,0.000703944,0.000426187,2.08E-05,2.03E-05,2.14E-05,0.000329417,5.02E-05,4.08E-05,0.00059631,0.000428789,0.000654329,0.000756943,5.57E-08,1.13E-05,2.13E-05,0.000116443,0.001054906,0,1.36E-06,0.001105943,4.56E-05,0.001403084,3.79E-05,2.63E-05,0.000217797,1.53E-05,0.001636751,0.000792673,0.000873914,3.06E-05,0.001868257,0,0.000136107,0.000338552,0.000862255,1.56E-06,1.19E-05,0.001780314,6.39E-05,0.006580971,0,0.000921177,0.000561848,0,0.000737256,0,2.21E-05,1.15E-05,0.001767014,6.90E-05,0.003029783,0.000189702,0.000409504,0.000368688,8.77E-06,0.000105994,3.05E-05,0,4.56E-05,0.000730968,6.23E-05,0.000998867,0,8.03E-05,1.99E-05,4.24E-05,3.82E-05,1.46E-05,8.85E-05,2.25E-05,4.85E-05,2.01E-05,1.14E-05,3.93E-06,4.11E-05,1.07E-05,1.87E-06,1.45E-06
29.620001,5.40E-06,0.00063866,0.000512636,7.13E-05,0.000123007,0.000617579,6.15E-05,0,0.000136216,6.80E-05,0.001372814,0,2.03E-05,0.002920651,0,0.001033252,0.000842163,0.000497635,2.24E-05,2.21E-05,2.47E-05,0.000361642,5.59E-05,1.92E-05,0.000702515,0.000514128,0.00076117,0.000883056,1.42E-06,1.59E-05,1.84E-05,0.000124501,0.001237708,0,0,0.00128832,5.16E-05,0.001636773,4.32E-05,3.11E-05,0.000265876,1.42E-05,0.001898136,0.000914763,0.001038842,2.91E-05,0.002199508,0,0.000159974,0.000428441,0.001003267,0,1.27E-05,0.002068192,7.36E-05,0.007932811,0,0.001138376,0.000577223,0,0.000807463,0,3.24E-05,4.68E-06,0.002026906,5.05E-05,0.003437662,0.000241021,0.000441728,0.000347779,1.50E-05,0.000108531,3.09E-05,3.97E-06,5.69E-05,0.000855412,6.57E-05,0.001112831,0,9.22E-05,1.85E-05,4.45E-05,3.78E-05,1.02E-05,8.53E-05,2.49E-05,4.92E-05,2.27E-05,1.06E-05,3.36E-06,4.04E-05,1.08E-05,9.96E-07,2.10E-08
